date,team_1,team_1_score,team_2,team_2_score,stadium_attendance,stadium
Tue Dec 22 2020,Golden State Warriors,99,Brooklyn Nets,125,Box Score,Barclays Center
Tue Dec 22 2020,Los Angeles Clippers,116,Los Angeles Lakers,109,Box Score,STAPLES Center
Wed Dec 23 2020,Charlotte Hornets,114,Cleveland Cavaliers,121,Box Score,Rocket Mortgage Fieldhouse
Wed Dec 23 2020,New York Knicks,107,Indiana Pacers,121,Box Score,Bankers Life Fieldhouse
Wed Dec 23 2020,Miami Heat,107,Orlando Magic,113,Box Score,Amway Center
Wed Dec 23 2020,Washington Wizards,107,Philadelphia 76ers,113,Box Score,Wells Fargo Center
Wed Dec 23 2020,New Orleans Pelicans,113,Toronto Raptors,99,Box Score,Amalie Arena
Wed Dec 23 2020,Milwaukee Bucks,121,Boston Celtics,122,Box Score,TD Garden
Wed Dec 23 2020,Atlanta Hawks,124,Chicago Bulls,104,Box Score,United Center
Wed Dec 23 2020,San Antonio Spurs,131,Memphis Grizzlies,119,Box Score,FedEx Forum
Wed Dec 23 2020,Detroit Pistons,101,Minnesota Timberwolves,111,Box Score,Target Center
Wed Dec 23 2020,Sacramento Kings,124,Denver Nuggets,122,Box Score,Ball Arena
Wed Dec 23 2020,Utah Jazz,120,Portland Trail Blazers,100,Box Score,Moda Center
Wed Dec 23 2020,Dallas Mavericks,102,Phoenix Suns,106,Box Score,Phoenix Suns Arena
Fri Dec 25 2020,New Orleans Pelicans,98,Miami Heat,111,Box Score,AmericanAirlines Arena
Fri Dec 25 2020,Golden State Warriors,99,Milwaukee Bucks,138,Box Score,Fiserv Forum
Fri Dec 25 2020,Brooklyn Nets,123,Boston Celtics,95,Box Score,TD Garden
Fri Dec 25 2020,Dallas Mavericks,115,Los Angeles Lakers,138,Box Score,STAPLES Center
Fri Dec 25 2020,Los Angeles Clippers,121,Denver Nuggets,108,Box Score,Ball Arena
Sat Dec 26 2020,Atlanta Hawks,122,Memphis Grizzlies,112,Box Score,FedEx Forum
Sat Dec 26 2020,Oklahoma City Thunder,109,Charlotte Hornets,107,Box Score,Spectrum Center
Sat Dec 26 2020,Cleveland Cavaliers,128,Detroit Pistons,119,Box Score,Little Caesars Arena
Sat Dec 26 2020,Orlando Magic,130,Washington Wizards,120,Box Score,Capital One Arena
Sat Dec 26 2020,Philadelphia 76ers,109,New York Knicks,89,Box Score,Madison Square Garden (IV)
Sat Dec 26 2020,Indiana Pacers,125,Chicago Bulls,106,Box Score,United Center
Sat Dec 26 2020,Toronto Raptors,114,San Antonio Spurs,119,Box Score,AT&T Center
Sat Dec 26 2020,Minnesota Timberwolves,116,Utah Jazz,111,Box Score,Vivint Smart Home Arena
Sat Dec 26 2020,Houston Rockets,126,Portland Trail Blazers,128,Box Score,Moda Center
Sat Dec 26 2020,Phoenix Suns,103,Sacramento Kings,106,Box Score,Golden 1 Center
Sun Dec 27 2020,Dallas Mavericks,124,Los Angeles Clippers,73,Box Score,STAPLES Center
Sun Dec 27 2020,San Antonio Spurs,95,New Orleans Pelicans,98,Box Score,Smoothie King Center
Sun Dec 27 2020,Orlando Magic,120,Washington Wizards,113,Box Score,Capital One Arena
Sun Dec 27 2020,Brooklyn Nets,104,Charlotte Hornets,106,Box Score,Spectrum Center
Sun Dec 27 2020,Philadelphia 76ers,94,Cleveland Cavaliers,118,Box Score,Rocket Mortgage Fieldhouse
Sun Dec 27 2020,Milwaukee Bucks,110,New York Knicks,130,Box Score,Madison Square Garden (IV)
Sun Dec 27 2020,Boston Celtics,107,Indiana Pacers,108,Box Score,Bankers Life Fieldhouse
Sun Dec 27 2020,Golden State Warriors,129,Chicago Bulls,128,Box Score,United Center
Sun Dec 27 2020,Phoenix Suns,116,Sacramento Kings,100,Box Score,Golden 1 Center
Sun Dec 27 2020,Minnesota Timberwolves,91,Los Angeles Lakers,127,Box Score,STAPLES Center
Mon Dec 28 2020,Memphis Grizzlies,116,Brooklyn Nets,111,Box Score,Barclays Center
Mon Dec 28 2020,Detroit Pistons,120,Atlanta Hawks,128,Box Score,State Farm Arena
Mon Dec 28 2020,Utah Jazz,110,Oklahoma City Thunder,109,Box Score,Chesapeake Energy Arena
Mon Dec 28 2020,Houston Rockets,111,Denver Nuggets,124,Box Score,Ball Arena
Mon Dec 28 2020,Portland Trail Blazers,115,Los Angeles Lakers,107,Box Score,STAPLES Center
Tue Dec 29 2020,New York Knicks,95,Cleveland Cavaliers,86,Box Score,Rocket Mortgage Fieldhouse
Tue Dec 29 2020,Golden State Warriors,116,Detroit Pistons,106,Box Score,Little Caesars Arena
Tue Dec 29 2020,Boston Celtics,116,Indiana Pacers,111,Box Score,Bankers Life Fieldhouse
Tue Dec 29 2020,Chicago Bulls,115,Washington Wizards,107,Box Score,Capital One Arena
Tue Dec 29 2020,Toronto Raptors,93,Philadelphia 76ers,100,Box Score,Wells Fargo Center
Tue Dec 29 2020,Milwaukee Bucks,144,Miami Heat,97,Box Score,AmericanAirlines Arena
Tue Dec 29 2020,Orlando Magic,118,Oklahoma City Thunder,107,Box Score,Chesapeake Energy Arena
Tue Dec 29 2020,New Orleans Pelicans,86,Phoenix Suns,111,Box Score,Phoenix Suns Arena
Tue Dec 29 2020,Denver Nuggets,115,Sacramento Kings,125,Box Score,Golden 1 Center
Tue Dec 29 2020,Minnesota Timberwolves,101,Los Angeles Clippers,124,Box Score,STAPLES Center
Wed Dec 30 2020,Milwaukee Bucks,108,Miami Heat,119,Box Score,AmericanAirlines Arena
Wed Dec 30 2020,Atlanta Hawks,141,Brooklyn Nets,145,Box Score,Barclays Center
Wed Dec 30 2020,Memphis Grizzlies,107,Boston Celtics,126,Box Score,TD Garden
Wed Dec 30 2020,Charlotte Hornets,118,Dallas Mavericks,99,Box Score,American Airlines Center
Wed Dec 30 2020,Los Angeles Lakers,121,San Antonio Spurs,107,Box Score,AT&T Center
Wed Dec 30 2020,Portland Trail Blazers,105,Los Angeles Clippers,128,Box Score,STAPLES Center
Thu Dec 31 2020,Cleveland Cavaliers,99,Indiana Pacers,119,Box Score,Bankers Life Fieldhouse
Thu Dec 31 2020,Chicago Bulls,133,Washington Wizards,130,Box Score,Capital One Arena
Thu Dec 31 2020,Philadelphia 76ers,116,Orlando Magic,92,Box Score,Amway Center
Thu Dec 31 2020,Sacramento Kings,119,Houston Rockets,122,Box Score,Toyota Center
Thu Dec 31 2020,New York Knicks,83,Toronto Raptors,100,Box Score,Amalie Arena
Thu Dec 31 2020,New Orleans Pelicans,113,Oklahoma City Thunder,80,Box Score,Chesapeake Energy Arena
Thu Dec 31 2020,Phoenix Suns,106,Utah Jazz,95,Box Score,Vivint Smart Home Arena
Fri Jan 1 2021,Memphis Grizzlies,108,Charlotte Hornets,93,Box Score,Spectrum Center
Fri Jan 1 2021,Miami Heat,83,Dallas Mavericks,93,Box Score,American Airlines Center
Fri Jan 1 2021,Boston Celtics,93,Detroit Pistons,96,Box Score,Little Caesars Arena
Fri Jan 1 2021,Atlanta Hawks,114,Brooklyn Nets,96,Box Score,Barclays Center
Fri Jan 1 2021,Chicago Bulls,96,Milwaukee Bucks,126,Box Score,Fiserv Forum
Fri Jan 1 2021,Washington Wizards,130,Minnesota Timberwolves,109,Box Score,Target Center
Fri Jan 1 2021,Los Angeles Lakers,109,San Antonio Spurs,103,Box Score,AT&T Center
Fri Jan 1 2021,Phoenix Suns,106,Denver Nuggets,103,Box Score,Ball Arena
Fri Jan 1 2021,Los Angeles Clippers,100,Utah Jazz,106,Box Score,Vivint Smart Home Arena
Fri Jan 1 2021,Portland Trail Blazers,123,Golden State Warriors,98,Box Score,Chase Center
Sat Jan 2 2021,Sacramento Kings,94,Houston Rockets,102,Box Score,Toyota Center
